Issue code,Issue name,Market type,Company category,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
"00279K","AMOREPACIFIC Holdings(3PC)","KOSPI",,"23300","-550","-2.31","24100","24125","23250","15400","364792900","165248260000","7092200"
"090435","AMOREPACIFIC(1P)","KOSPI",,"45250","-1400","-3.00","47000","47400","45000","15008","688559325","477741807500","10557830"
"123860","ANAPASS","KOSDAQ","Venture business","16630","-550","-3.20","17350","17400","16500","35620","599847080","201612391450","12123415"
"455900","ANGEL","KOSDAQ","New growth company","25700","-900","-3.38","28050","28050","25300","95398","2560999075","391851266700","15247131"
"310200","ANIPLUS","KOSDAQ","Enterprise of middle standing","2600","-110","-4.06","2730","2730","2570","602395","1583498266","135623373600","52162836"
"121600","ANP","KOSDAQ","Blue chip company","63500","-2600","-3.93","66200","68800","62400","127458","8350560850","775410628500","12211191"
"065660","ANTEROGEN","KOSDAQ","New growth company","41100","-2900","-6.59","44550","44800","40750","41441","1748115925","411250710000","10006100"
"265520","AP Systems","KOSDAQ","Blue chip company","19120","-1130","-5.58","20550","20650","19050","145094","2825505010","287771697520","15050821"
"200470","APACT","KOSDAQ","Enterprise of middle standing","6670","-690","-9.38","7410","7460","6600","751985","5187928555","282555160310","42362093"
"207490","APEX INTEC","KONEX","General Company-Division","7000","200","2.94","6600","7000","6600","2","13600","25200000000","3600000"
"278470","APR","KOSPI",,"339500","-5000","-1.45","346000","358500","332500","329312","113133794000","12710253622500","37438155"
"054620","APS","KOSDAQ","Enterprise of middle standing","8900","-500","-5.32","9390","9400","8570","420132","3747486580","163708566900","18394221"
"211270","APSI","KOSDAQ","Blue chip company","15750","-1340","-7.84","17610","17610","15440","468256","7645149680","237546288000","15082304"
"270520","APTN","KOSDAQ","More significant investment(none market division)","174","1","0.58","173","177","165","2346393","399057149","34206511578","196589147"
"109960","APTOCROM","KOSDAQ","More significant investment(none market division)","178","14","8.54","165","195","165","3481002","627678178","39300489882","220789269"
"149300","APURES","KONEX","General Company-Division","28","0","0.00","0","0","0","0","0","1273615056","45486252"
"0015N0","AROMATICA","KOSDAQ","Venture business","9380","-640","-6.39","10110","10210","9330","363914","3548419215","119267169000","12715050"
"159010","ASFLOW","KOSDAQ","Venture business","5350","-190","-3.43","5540","5640","5100","67007","357203840","71340853650","13334739"
"127710","ASIA BUSINESS DAILY","KOSDAQ","Enterprise of middle standing","1684","-5","-0.30","1689","1710","1628","294235","495503946","74178869640","44049210"
"002030","ASIA HOLDINGS","KOSPI",,"272000","-10000","-3.55","278500","282000","271500","3121","857232250","563759712000","2072646"
"154030","ASIA SEED","KOSDAQ","Venture business","1940","-60","-3.00","2000","2000","1923","82425","161575926","23400021980","12061867"
"050860","ASIA TECHNOLOGY","KOSDAQ","Blue chip company","2000","-35","-1.72","2035","2070","1989","17341","34939510","45000000000","22500000"
"183190","ASIACEMENT","KOSPI",,"10450","-450","-4.13","10990","10990","10400","98022","1039193985","385894026100","36927658"
"445090","ASICLAND","KOSDAQ","Venture business","26600","-1700","-6.01","28500","28600","25900","43508","1190724150","290622502800","10925658"
"136410","ASSEMS","KOSDAQ","Venture business","6960","-430","-5.82","7520","7530","6930","40780","292501555","76692977760","11019106"
"246720","ASTA","KOSDAQ","Issues for administration(none market division)","6070","0","0.00","0","0","0","0","0","99434491000","16381300"
"450950","ASTERASYS","KOSDAQ","Venture business","10500","-700","-6.25","11140","11230","10080","117833","1235074710","395089716000","37627592"
"067390","ASTK","KOSDAQ","Enterprise of middle standing","710","-14","-1.93","724","739","700","1152199","825354094","290501881090","409157579"
"241840","ASTORY","KOSDAQ","Enterprise of middle standing","5150","-270","-4.98","5430","5500","5080","50259","259509255","49130969100","9539994"
"453860","ASTech","KOSDAQ","Venture business","14070","-410","-2.83","14650","14690","13700","15410","217633010","90673031610","6444423"
"045660","ATEC","KOSDAQ","Venture business","9250","-260","-2.73","9510","9630","9130","33085","306771190","76405000000","8260000"
"224110","ATEC MOBILITY","KOSDAQ","Venture business","8440","-360","-4.09","8800","8920","8390","22210","189400735","45069600000","5340000"
"158430","ATON","KOSDAQ","Venture business","5740","-550","-8.74","6360","6410","5660","547836","3241757540","140527208080","24482092"
"355690","ATUM","KOSDAQ","New growth company","5220","180","3.57","5540","6550","4865","673355","3768877882","28213995600","5404980"
"481070","AU BRANDZ","KOSDAQ","Enterprise of middle standing","16340","-880","-5.11","17210","17300","16010","13605","223482330","231374400000","14160000"
"017900","AUK","KOSPI",,"3430","110","3.31","3600","4080","3200","18066234","64590710171","198747107090","57943763"
"039830","AURORA","KOSDAQ","Blue chip company","9510","-690","-6.76","10200","10250","9430","42765","415149975","102355083900","10762890"
"322310","AUROSTECH","KOSDAQ","Venture business","28900","-3500","-10.80","32400","32400","27850","337305","9917117050","270693063800","9366542"
"031510","AUSTEM","KOSDAQ","Enterprise of middle standing","1011","-31","-2.98","1042","1065","1010","128255","132559472","28308000000","28000000"
"353590","AUTO&","KOSDAQ","Enterprise of middle standing","2705","-100","-3.57","2875","2875","2680","11894","32357464","34828416850","12875570"
"083930","AVACO","KOSDAQ","Blue chip company","12860","-590","-4.39","13480","13640","12620","84632","1098964450","188749422140","14677249"
"149950","AVATEC","KOSDAQ","Blue chip company","9630","-370","-3.70","10000","10080","9450","35110","339155620","131619979890","13667703"
"0011A0","AXBIS","KOSDAQ","Venture business","26400","50","0.19","27000","29700","26100","543974","15285390000","246410736000","9333740"
